iteration,best_f,iter_best_f,pher_max,pher_avg,pher_min,best_avg_delay,best_fall,best_fem,eval_count
1,562.3333333333334,562.3333333333334,1.565919059468964,0.2311024724748723,0.06999999999999999,10.3,515.0,47.333333333333336,50
2,544.0,544.0,2.599831560456229,0.32771025868913484,0.048999999999999995,10.186666666666666,509.3333333333333,34.66666666666667,100
3,544.0,563.3333333333334,4.000120677962576,0.3966413159342815,0.0343,10.186666666666666,509.3333333333333,34.66666666666667,150
4,544.0,555.3333333333334,4.768151449170579,0.44397884303302954,0.024009999999999997,10.186666666666666,509.3333333333333,34.66666666666667,200
5,544.0,563.6666666666667,6.125130340206829,0.47840752353834526,0.016806999999999996,10.186666666666666,509.3333333333333,34.66666666666667,250
6,544.0,553.6666666666666,6.857708136271918,0.5021429771115549,0.011764899999999997,10.186666666666666,509.3333333333333,34.66666666666667,300
7,544.0,551.0,7.7643921592873655,0.5190193261575512,0.008235429999999997,10.186666666666666,509.3333333333333,34.66666666666667,350
8,544.0,565.6666666666666,8.726505437661926,0.5282859286251084,0.005764800999999997,10.186666666666666,509.3333333333333,34.66666666666667,400
9,544.0,555.0000000000001,9.271649539603919,0.5368609126986277,0.004035360699999998,10.186666666666666,509.3333333333333,34.66666666666667,450
10,544.0,559.6666666666666,10.477590794055708,0.5425481613207511,0.0028247524899999983,10.186666666666666,509.3333333333333,34.66666666666667,500
11,544.0,554.0,10.997980635137955,0.5466364986451512,0.0019773267429999985,10.186666666666666,509.3333333333333,34.66666666666667,550
12,544.0,563.3333333333334,10.439345764189039,0.5502497882220126,0.0013841287200999988,10.186666666666666,509.3333333333333,34.66666666666667,600
13,544.0,555.3333333333333,10.288589911868536,0.5516919559455802,0.001,10.186666666666666,509.3333333333333,34.66666666666667,650
14,529.6666666666666,529.6666666666666,10.348592189879623,0.5529432259796163,0.001,9.866666666666667,493.3333333333333,36.333333333333336,700
15,529.6666666666666,558.6666666666666,11.09580199856643,0.5549840587261518,0.001,9.866666666666667,493.3333333333333,36.333333333333336,750
16,529.6666666666666,571.3333333333334,10.910963044692728,0.554066274129889,0.001,9.866666666666667,493.3333333333333,36.333333333333336,800
17,529.6666666666666,566.0,10.978396738375483,0.554985066692436,0.001,9.866666666666667,493.3333333333333,36.333333333333336,850
18,529.6666666666666,554.3333333333334,11.70269450243665,0.5571363538562425,0.001,9.866666666666667,493.3333333333333,36.333333333333336,900
19,529.6666666666666,567.0,11.913043126884059,0.5564175961379946,0.001,9.866666666666667,493.3333333333333,36.333333333333336,950
20,529.6666666666666,546.6666666666666,13.655795535743248,0.55935604106467,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1000
21,529.6666666666666,564.0,13.705470600983436,0.5588020756963863,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1050
22,529.6666666666666,554.6666666666666,13.731870551389207,0.5599169644695275,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1100
23,529.6666666666666,538.3333333333333,15.336199148791682,0.5612528719726897,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1150
24,529.6666666666666,557.6666666666666,16.12272795957223,0.5620968384581504,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1200
25,529.6666666666666,541.6666666666666,15.972684947345567,0.5637520271906316,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1250
26,529.6666666666666,560.6666666666667,16.61387139103249,0.5653901750245309,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1300
27,529.6666666666666,566.3333333333334,16.859653086761558,0.5657030004978056,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1350
28,529.6666666666666,555.6666666666667,17.714476023137394,0.5675211459680617,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1400
29,529.6666666666666,538.0,17.97660723823521,0.5671683422522031,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1450
30,529.6666666666666,544.0,17.42019179568797,0.5656417522983697,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1500
31,529.6666666666666,556.3333333333333,18.906890551622165,0.5660230693392699,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1550
32,529.6666666666666,538.3333333333334,19.58329789750799,0.5657411867785601,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1600
33,529.6666666666666,570.3333333333333,19.869536505486202,0.5647859250473865,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1650
34,529.6666666666666,554.3333333333334,19.8868725517995,0.5635376204243872,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1700
35,529.6666666666666,541.6666666666667,20.885767900321028,0.5622774766254717,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1750
36,529.6666666666666,549.3333333333334,21.98662235058721,0.5609743949940447,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1800
37,529.6666666666666,545.0,22.254668094012477,0.5599591547687017,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1850
38,529.6666666666666,559.6666666666666,22.380366847209977,0.5606850935750581,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1900
39,529.6666666666666,571.3333333333334,23.042400939526757,0.5597984890361606,0.001,9.866666666666667,493.3333333333333,36.333333333333336,1950
40,529.6666666666666,566.6666666666667,22.889651513430444,0.5598616692558673,0.001,9.866666666666667,493.3333333333333,36.333333333333336,2000
41,529.6666666666666,563.0,23.641213016228626,0.5601442693627463,0.001,9.866666666666667,493.3333333333333,36.333333333333336,2050
42,529.6666666666666,561.6666666666667,23.917467433261642,0.5586422842963985,0.001,9.866666666666667,493.3333333333333,36.333333333333336,2100
