timestamp,num_ants,max_iter,alpha,beta,evap,tau_min,tau_max,elitist_weight,best_f,eval_count,runtime_seconds
2025-11-28 20:50:00,90,400,1.0,2.0,0.35,0.001,5.0,1.5,154.10500278715878,36000,27.647598
2025-11-28 21:22:41,90,400,1.0,2.0,0.35,0.001,5.0,1.5,151.47917872082186,36000,25.624039
2025-11-28 21:29:45,90,400,1.0,2.0,0.35,0.001,5.0,1.5,149.71561317577374,36000,25.263593
2025-11-28 21:36:04,90,400,1.0,2.0,0.35,0.001,5.0,1.5,150.3732463627156,36000,25.258172
2025-11-28 21:36:43,90,400,1.0,1.0,0.35,0.001,5.0,1.5,149.38320997546066,36000,25.188844
2025-11-28 21:38:09,90,400,1.0,2.0,0.35,0.001,5.0,1.5,149.92542387171204,36000,25.183311
2025-11-28 21:41:27,90,400,1.0,2.0,0.35,0.001,5.0,1.5,152.21163397057668,36000,25.645454
2025-11-28 21:42:25,90,400,1.0,2.0,0.35,0.001,5.0,1.5,149.65363607670983,36000,25.505319
2025-11-28 22:02:00,90,400,1.0,2.0,0.35,0.01,5.0,1.5,161.4490740555639,36000,431.501663
2025-11-28 22:26:08,90,400,1.0,2.0,0.35,0.001,5.0,1.5,152.2204282582262,36000,25.609689
2025-11-28 22:36:26,90,400,1.0,2.0,0.35,0.001,5.0,1.5,152.76463006417492,36000,26.177246
2025-11-28 22:43:54,90,400,1.0,2.0,0.35,0.001,5.0,1.5,154.5410307884429,36000,25.610086
2025-11-28 22:49:17,90,400,1.0,2.0,0.6,0.001,5.0,1.5,153.14989427661962,36000,25.24208
