iteration,best_f,iter_best_f,pher_max,pher_avg,pher_min,eval_count
1,178.47682659408693,178.47682659408693,0.40835762492832833,0.4002785874976109,0.4,90
2,171.56949508939073,171.56949508939073,0.17203520033790107,0.16040117334459678,0.16000000000000003,180
3,171.56949508939073,173.8909764828854,0.07750623050173015,0.06445020768339103,0.06400000000000002,270
4,171.56949508939073,175.1969030836487,0.03969464256726179,0.026069821418908734,0.025600000000000008,360
5,171.56949508939073,179.3158848679076,0.024570007393474442,0.010717666913115818,0.010240000000000004,450
6,171.56949508939073,175.158589425846,0.018520153323959503,0.004576805110798652,0.0040960000000000015,540
7,171.56949508939073,180.26753225459817,0.016100211696153527,0.0021204603898717853,0.0016384000000000008,630
8,171.56949508939073,171.86585242926466,0.015132235045031136,0.0014706637075205613,0.001,720
9,171.2122623753767,171.2122623753767,0.014763075159065008,0.0014466048543766432,0.001,810
10,171.2122623753767,175.97956967387023,0.014615411204678557,0.001436981313119076,0.001,900
11,171.2122623753767,176.98136695479263,0.014556345622923975,0.0014337791892343635,0.001,990
12,171.2122623753767,172.7386748603576,0.014532719390222142,0.001443851047062164,0.001,1080
13,171.2122623753767,176.6371111850158,0.014523268897141409,0.0014478797901932845,0.001,1170
14,169.3461740556486,169.3461740556486,0.014614905972296602,0.0014426718631919818,0.001,1260
15,169.3461740556486,173.9726025006691,0.01465156080235868,0.0014405886923914608,0.001,1350
16,169.3461740556486,171.41265302121428,0.014666222734383512,0.0014410027191391521,0.001,1440
17,166.4395060914364,166.4395060914364,0.01482494480100216,0.0014410163975497054,0.001,1530
18,166.4395060914364,167.29296513623675,0.014888437217222193,0.0014410218689139265,0.001,1620
19,166.23605274550073,166.23605274550073,0.014924732721964637,0.0014327731779620355,0.001,1710
20,166.23605274550073,172.85904330835177,0.014939250923861613,0.001441421199020673,0.001,1800
21,166.23605274550073,171.83222216546594,0.014945058204620405,0.0014474683490284816,0.001,1890
22,166.23605274550073,169.55998544493275,0.014947381116923921,0.0014579659341139185,0.001,1980
23,166.23605274550073,168.2721470965495,0.014948310281845328,0.001462164968148093,0.001,2070
24,166.23605274550073,171.42666554519775,0.014948681947813892,0.0014638445817617628,0.001,2160
25,166.23605274550073,168.47877535060758,0.014948830614201316,0.0014645164272072307,0.001,2250
26,166.23605274550073,169.2549595175528,0.014948890080756286,0.0014647851653854177,0.001,2340
27,166.23605274550073,173.11095710273423,0.014948913867378275,0.0014648926606566927,0.001,2430
28,166.23605274550073,167.2892976204319,0.014948923382027069,0.0014649356587652027,0.001,2520
29,166.23605274550073,175.33001551308928,0.014948927187886587,0.0014649528580086067,0.001,2610
30,160.38184080050036,160.38184080050036,0.015274296927104275,0.0014664720116017642,0.001,2700
31,160.38184080050036,170.62687686411581,0.01540444482279135,0.0014670796730390273,0.001,2790
32,160.38184080050036,164.10276819652705,0.015456503981066181,0.0014679961635535362,0.001,2880
33,160.38184080050036,171.80218723416945,0.015477327644376114,0.0014770226671530695,0.001,2970
34,160.38184080050036,166.96179190006538,0.015485657109700086,0.0014806332685928826,0.001,3060
35,160.38184080050036,175.29914541335077,0.015488988895829675,0.0014820775091688083,0.001,3150
36,160.38184080050036,172.20987466609608,0.01549032161028151,0.0014826552053991784,0.001,3240
37,159.59580036527285,159.59580036527285,0.015536347981033441,0.0014757360600570328,0.001,3330
38,159.59580036527285,159.69330776454242,0.015554758529334214,0.0014729684019201745,0.001,3420
39,159.59580036527285,166.02861081564808,0.015562122748654523,0.0014719955925506076,0.001,3510
40,159.59580036527285,169.0511294321694,0.015565068436382647,0.001480138881584271,0.001,3600
41,159.59580036527285,166.9844945251829,0.015566246711473896,0.0014833961971977368,0.001,3690
42,159.59580036527285,167.33532909840892,0.015566718021510396,0.0014846991234431228,0.001,3780
43,159.59580036527285,170.8917709788364,0.015566906545524995,0.0014852202939412773,0.001,3870
44,159.59580036527285,174.80374700561043,0.015566981955130836,0.001485428762140539,0.001,3960
45,159.59580036527285,172.65763899954322,0.015567012118973171,0.0014855121494202438,0.001,4050
46,159.59580036527285,162.24648618981328,0.015567024184510106,0.0014855455043321258,0.001,4140
47,159.59580036527285,167.0380747472391,0.015567029010724879,0.0014855588462968784,0.001,4230
48,159.59580036527285,163.90878965948963,0.015567030941210789,0.0014855641830827798,0.001,4320
49,159.59580036527285,165.0532503661122,0.015567031713405153,0.0014855663177971402,0.001,4410
50,159.59580036527285,172.98106741691836,0.0155670320222829,0.0014855671716828842,0.001,4500
51,159.59580036527285,160.47997349008008,0.015567032145833997,0.0014855675132371818,0.001,4590
52,159.59580036527285,170.65303371087947,0.015567032195254436,0.0014855676498589008,0.001,4680
53,159.59580036527285,174.32428685820145,0.015567032215022612,0.0014855677045075885,0.001,4770
54,159.59580036527285,171.2334706261988,0.015567032222929883,0.0014855677263670634,0.001,4860
55,159.59580036527285,163.27754515539297,0.01556703222609279,0.0014855677351108536,0.001,4950
56,159.59580036527285,163.98086660150938,0.015567032227357953,0.0014855677386083695,0.001,5040
57,159.59580036527285,165.04370237950306,0.015567032227864019,0.001485567740007376,0.001,5130
58,159.59580036527285,169.69972898420036,0.015567032228066446,0.0014855677405669785,0.001,5220
59,159.59580036527285,165.1378685965156,0.015567032228147416,0.0014855677407908194,0.001,5310
60,159.59580036527285,165.4038523281767,0.015567032228179803,0.001485567740880356,0.001,5400
61,159.59580036527285,163.5584136611504,0.015567032228192758,0.0014855677409161706,0.001,5490
62,159.59580036527285,167.98791455049025,0.015567032228197941,0.0014855677409304963,0.001,5580
63,159.59580036527285,167.98347297690316,0.015567032228200014,0.0014855677409362266,0.001,5670
64,159.59580036527285,166.04428009457322,0.015567032228200843,0.0014855677409385186,0.001,5760
65,159.59580036527285,164.57040756264607,0.015567032228201175,0.0014855677409394358,0.001,5850
66,159.59580036527285,166.0738567361646,0.015567032228201307,0.0014855677409398025,0.001,5940
