Experiment_Timestamp,Run,SA_Final_Cost,GA_Final_Cost
2025-11-13 19:55:23,1,242.30309274392016,194.2001796788865
2025-11-13 19:55:23,2,240.9244588179401,202.60001982941083
2025-11-13 19:55:23,3,240.60000000000002,199.29345171167625
2025-11-13 19:55:23,4,227.22812071560986,194.00915389570847
2025-11-13 19:55:23,5,227.43193656795756,192.52303891325175
2025-11-13 19:59:49,1,247.99107851832798,185.80729203191632
2025-11-13 19:59:49,2,223.72639405305515,190.20361669363544
2025-11-13 19:59:49,3,243.25608351624737,192.2005422398882
2025-11-13 19:59:49,4,227.72215521977583,216.2753621167691
2025-11-13 19:59:49,5,247.5666666666667,206.6075648881872
2025-11-13 19:59:49,6,220.97230720581348,211.20001049035932
2025-11-13 19:59:49,7,236.25855133484913,207.40118741776496
2025-11-13 19:59:49,8,233.13333333333344,200.4672466892575
2025-11-13 19:59:49,9,226.97070048851015,199.6001550817556
2025-11-13 19:59:49,10,214.12916126801093,190.55232616056006
2025-11-13 20:02:51,1,208.20000000000002,213.64531189031908
2025-11-13 20:02:51,2,184.7560177787568,194.23338777043074
2025-11-13 20:02:51,3,211.0854904263855,181.8000384138973
2025-11-13 20:02:51,4,191.76483211130272,195.00100077879483
2025-11-13 20:02:51,5,197.42696198482085,205.13088893829325
2025-11-13 20:02:51,6,197.59643905840176,194.40224841533606
2025-11-13 20:02:51,7,223.54373142725825,203.20233690943286
2025-11-13 20:02:51,8,191.2836692464592,220.03094522385754
2025-11-13 20:02:51,9,195.7333333333334,196.31936401898338
2025-11-13 20:02:51,10,199.47335537814996,194.6000407855839
2025-11-13 20:04:31,1,240.45712448307708,196.60065587703875
2025-11-13 20:04:31,2,244.46621938440802,207.8954215885299
2025-11-13 20:04:31,3,235.28206876892483,205.5077477401582
2025-11-13 20:04:31,4,254.66942595163147,197.20735523906055
2025-11-13 20:04:31,5,222.79069273440868,203.31620085339273
2025-11-13 20:04:31,6,264.5224016625989,192.23218949491195
2025-11-13 20:04:31,7,267.00000000000006,203.0001240435055
2025-11-13 20:04:31,8,239.1128199132711,200.45180069942393
2025-11-13 20:04:31,9,241.50820536658244,198.06844697347572
2025-11-13 20:04:31,10,234.44062892875917,216.1050327770966
2025-11-13 20:09:45,1,254.95491855207982,206.40003125942928
2025-11-13 20:09:45,2,246.67048442518626,212.86348287131958
2025-11-13 20:09:45,3,248.18994260258552,217.02066640114094
2025-11-13 20:09:45,4,221.73945874057688,237.87599443171712
2025-11-13 20:09:45,5,246.4000000000001,213.200189514475
2025-11-13 20:09:45,6,239.72605527020247,190.8009581727603
2025-11-13 20:09:45,7,227.20000000000007,199.4095644053702
2025-11-13 20:09:45,8,231.54056719914473,197.06736940936275
2025-11-13 20:09:45,9,234.19670806995435,226.99947593051775
2025-11-13 20:09:45,10,234.48572359488222,227.2000101888408
2025-11-13 20:09:45,11,255.93846247503066,202.3482326385195
2025-11-13 20:09:45,12,243.54565392654226,206.44886867020557
2025-11-13 20:09:45,13,228.0255328924955,203.8960764806358
2025-11-13 20:09:45,14,232.40000000000006,207.60003771821192
2025-11-13 20:09:45,15,233.102306457961,192.00003112826963
2025-11-13 20:09:45,16,223.8,217.94089332920973
2025-11-13 20:09:45,17,249.39999999999998,195.06672347722878
2025-11-13 20:09:45,18,241.00000000000006,181.0355455715466
2025-11-13 20:09:45,19,235.00000000000006,192.60718960237804
2025-11-13 20:09:45,20,249.05836338810434,203.6014772711241
2025-11-13 20:09:45,21,247.74413144754325,223.84736423532686
2025-11-13 20:09:45,22,236.37736962862996,198.2413833568814
2025-11-13 20:09:45,23,223.8415538745573,199.66712349047174
2025-11-13 20:09:45,24,267.8,212.9988317451642
2025-11-13 20:09:45,25,229.86666666666673,207.7911024936512
2025-11-13 20:09:45,26,252.6681905892626,197.0330709934796
2025-11-13 20:09:45,27,226.95312098347506,218.60000497611026
2025-11-13 20:09:45,28,231.8314274541666,203.21816523229376
2025-11-13 20:09:45,29,242.45652028660191,202.0001365374689
2025-11-13 20:09:45,30,263.37828009545336,203.53439873423594
2025-11-13 20:09:45,31,239.7902277324255,192.23289863740007
2025-11-13 20:09:45,32,259.9072343551779,216.400185021636
2025-11-13 20:09:45,33,250.2530913873378,197.83377431107212
2025-11-13 20:09:45,34,246.0009408018023,194.53125322049084
2025-11-13 20:09:45,35,262.7180906999589,193.57637967422244
2025-11-13 20:09:45,36,238.69925489244008,191.9221529736811
2025-11-13 20:09:45,37,243.55478386736516,191.60006191677064
2025-11-13 20:09:45,38,255.60000000000005,202.60007450207155
2025-11-13 20:09:45,39,214.65962449922625,190.11118237632246
2025-11-13 20:09:45,40,229.29837575925126,201.99069429399424
2025-11-13 20:09:45,41,237.2594249938529,207.80006887267137
2025-11-13 20:09:45,42,238.6655367021545,201.31215171201802
2025-11-13 20:09:45,43,217.8332020266173,203.94795922535755
2025-11-13 20:09:45,44,299.19009506752104,183.20030204614062
2025-11-13 20:09:45,45,262.9921453758481,196.0013924717287
