stage,iteration,best_fitness,avg_fitness
1,1,48.18055555555557,69.79351851851854
1,2,46.23611111111112,67.77037037037039
1,3,46.23611111111112,68.68379629629632
1,4,46.23611111111112,67.46064814814817
1,5,43.93055555555557,68.11412037037039
1,6,43.93055555555557,69.22847222222224
1,7,43.93055555555557,70.60694444444445
1,8,43.93055555555557,69.37060185185187
1,9,43.93055555555557,67.42314814814816
1,10,43.93055555555557,69.53773148148149
1,11,43.93055555555557,69.4925925925926
1,12,43.93055555555557,68.44282407407408
1,13,42.055555555555564,67.77222222222223
1,14,42.055555555555564,70.12106481481483
1,15,42.055555555555564,69.79699074074075
1,16,42.055555555555564,70.64004629629632
1,17,42.055555555555564,70.0039351851852
1,18,42.055555555555564,67.98657407407408
1,19,42.055555555555564,69.94120370370372
1,20,42.055555555555564,67.96481481481483
1,21,42.055555555555564,71.21828703703706
1,22,36.38888888888891,70.19490740740743
1,23,36.38888888888891,68.62268518518519
1,24,36.38888888888891,67.94722222222224
1,25,36.38888888888891,69.29444444444447
1,26,36.38888888888891,70.52986111111112
1,27,36.38888888888891,68.46250000000002
1,28,36.38888888888891,70.55601851851854
1,29,36.38888888888891,69.01296296296297
1,30,36.38888888888891,66.4002314814815
1,31,36.38888888888891,69.89305555555555
1,32,36.38888888888891,68.70347222222225
1,33,36.38888888888891,69.17986111111114
1,34,36.38888888888891,67.39953703703705
1,35,36.38888888888891,69.24351851851854
1,36,36.38888888888891,67.31226851851854
1,37,36.38888888888891,68.36736111111112
1,38,36.38888888888891,67.67824074074075
1,39,36.38888888888891,68.38750000000002
1,40,36.38888888888891,67.40810185185187
1,41,36.38888888888891,70.77106481481482
1,42,36.38888888888891,73.69953703703706
1,43,36.38888888888891,68.194212962963
1,44,36.38888888888891,68.03634259259262
1,45,36.38888888888891,67.84305555555558
1,46,36.38888888888891,70.00208333333333
1,47,36.38888888888891,70.61273148148149
1,48,36.38888888888891,68.62175925925928
1,49,36.38888888888891,68.22592592592595
1,50,36.38888888888891,66.93726851851854
